Company,Position Name,Link,Location 
Shopee,"UAT Tester - Product Management, SG Marketplace",https://careers.shopee.com.my/job-detail/J00282142/1?channel=10001,Kuala Lumpur
Shopee,QA Tester & Product Management Specialist - ShopeePay,https://careers.shopee.com.my/job-detail/J00245797/1?channel=10001,Kuala Lumpur
Shopee,QA Tester & Product Management - SPX Xpress,https://careers.shopee.com.my/job-detail/J00269626/1?channel=10001,Kuala Lumpur
Seamoney,UAT Tester - Digital Bank,https://careers.seamoney.com/job-detail?id=J00095912&source_from=1,Kuala Lumpur
Seamoney,Senior UAT Tester - Digital Bank,https://careers.seamoney.com/job-detail?id=J00211632&source_from=1,Kuala Lumpur
Xsolla,Senior QA Engineer,https://jobs.lever.co/xsolla/74229d86-1d88-4d2e-b18c-b45f4f8f0b6a,Kuala Lumpur
Xsolla,QA Engineer,https://jobs.lever.co/xsolla/5d52edab-4761-47fc-ab9b-898f5a436120,Kuala Lumpur
Xsolla,QA Engineer (Rewards),https://jobs.lever.co/xsolla/fd66d7cf-c1ad-4992-b757-28bbd08f4f61,Kuala Lumpur
Xsolla,Senior QA Engineer (Payments),https://jobs.lever.co/xsolla/293f5f43-c9fb-4c12-81b4-bd17a60ad50e,Kuala Lumpur
Coingecko,"Software Test Engineer, Mid-Level (L2)",https://jobs.lever.co/coingecko/946cc2fc-04cb-4a30-ba3b-5214fe5198cf,Kuala Lumpur
BigPay,QA Engineer (1 Year Contract),https://jobs.lever.co/bigpayme-2/dcd09bf7-086b-4108-949b-7fba08ed4c78,Kuala Lumpur
Binance,Senior QA Engineer (Backend Auto Test),https://jobs.lever.co/binance/45cb78aa-d487-4c4b-a1d2-377dbb971fe6,Remote 
Zalora,Senior QA Engineer,https://careers.zalora.com/careers/lKU7ZMgP14,Kuala Lumpur
MoneyLion,Automation QA Engineer,https://www.moneylion.com/careers-apply/?gh_jid=4334653004,Kuala Lumpur
Exact Asia,Quality Engineer ( Test Automation & Manual Testing ),https://www.exact.com/asia/careers/vacancies/a0t4I00000o0bC2QAI-quality-engineer-test-automation-manual-testing, Kuala Lumpur
Amdocs,SW Test Engineer,https://jobs.amdocs.com/careers/job/563430995000348,Kuala Lumpur
Codemaster,Quality Designer,https://ea.gr8people.com/jobs/181512/quality-designer,Kuala Lumpur
Codemaster,Software Quality Assurance Engineer,https://ea.gr8people.com/jobs/181617/software-quality-assurance-engineer,Kuala Lumpur
Codemaster,Quality Assurance Manager,https://ea.gr8people.com/jobs/180877/quality-assurance-manager,Kuala Lumpur
Fave Asia,Software Development Engineer in Test (SDET) , https://myfave.darwinbox.com/ms/candidate/careers/a64abbe8a733bd, Kuala Lumpur 
Fave Asia,Senior Software Development Engineer in Test (SDET),https://myfave.darwinbox.com/ms/candidate/careers/a64abc630b712d, Kuala Lumpur